"","oro_type","year","y","component","variable_name"
"389","CDR-Cult",2002,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"390","CDR-Cult",2003,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"391","CDR-Cult",2004,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"392","CDR-Cult",2005,3,"Non-binding policy
(N documents)","Non-binding policy (N)"
"393","CDR-Cult",2006,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"394","CDR-Cult",2008,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"395","CDR-Cult",2009,5,"Non-binding policy
(N documents)","Non-binding policy (N)"
"396","CDR-Cult",2010,3,"Non-binding policy
(N documents)","Non-binding policy (N)"
"397","CDR-Cult",2011,5,"Non-binding policy
(N documents)","Non-binding policy (N)"
"398","CDR-Cult",2012,5,"Non-binding policy
(N documents)","Non-binding policy (N)"
"399","CDR-Cult",2013,4,"Non-binding policy
(N documents)","Non-binding policy (N)"
"400","CDR-Cult",2014,6,"Non-binding policy
(N documents)","Non-binding policy (N)"
"401","CDR-Cult",2015,13,"Non-binding policy
(N documents)","Non-binding policy (N)"
"402","CDR-Cult",2016,12,"Non-binding policy
(N documents)","Non-binding policy (N)"
"403","CDR-Cult",2017,13,"Non-binding policy
(N documents)","Non-binding policy (N)"
"404","CDR-Cult",2018,12,"Non-binding policy
(N documents)","Non-binding policy (N)"
"405","CDR-Cult",2019,10,"Non-binding policy
(N documents)","Non-binding policy (N)"
"406","CDR-Cult",2020,10,"Non-binding policy
(N documents)","Non-binding policy (N)"
"407","CDR-Cult",2021,11,"Non-binding policy
(N documents)","Non-binding policy (N)"
"408","CDR-Cult",2022,6,"Non-binding policy
(N documents)","Non-binding policy (N)"
"409","CDR-Cult",2023,5,"Non-binding policy
(N documents)","Non-binding policy (N)"
"410","CDR-Cult",2024,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"411","CDR-OAE",1995,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"412","CDR-OAE",2001,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"413","CDR-OAE",2002,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"414","CDR-OAE",2004,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"415","CDR-OAE",2005,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"416","CDR-OAE",2008,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"417","CDR-OAE",2009,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"418","CDR-OAE",2010,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"419","CDR-OAE",2012,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"420","CDR-OAE",2014,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"421","CDR-OAE",2015,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"422","CDR-OAE",2016,4,"Non-binding policy
(N documents)","Non-binding policy (N)"
"423","CDR-OAE",2017,4,"Non-binding policy
(N documents)","Non-binding policy (N)"
"424","CDR-OAE",2018,3,"Non-binding policy
(N documents)","Non-binding policy (N)"
"425","CDR-OAE",2019,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"426","CDR-OAE",2020,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"427","CDR-OAE",2023,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"428","Efficiency",1980,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"429","Efficiency",1987,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"430","Efficiency",1991,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"431","Efficiency",1995,3,"Non-binding policy
(N documents)","Non-binding policy (N)"
"432","Efficiency",1996,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"433","Efficiency",1997,5,"Non-binding policy
(N documents)","Non-binding policy (N)"
"434","Efficiency",1998,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"435","Efficiency",1999,7,"Non-binding policy
(N documents)","Non-binding policy (N)"
"436","Efficiency",2000,6,"Non-binding policy
(N documents)","Non-binding policy (N)"
"437","Efficiency",2001,7,"Non-binding policy
(N documents)","Non-binding policy (N)"
"438","Efficiency",2002,15,"Non-binding policy
(N documents)","Non-binding policy (N)"
"439","Efficiency",2003,6,"Non-binding policy
(N documents)","Non-binding policy (N)"
"440","Efficiency",2004,13,"Non-binding policy
(N documents)","Non-binding policy (N)"
"441","Efficiency",2005,18,"Non-binding policy
(N documents)","Non-binding policy (N)"
"442","Efficiency",2006,25,"Non-binding policy
(N documents)","Non-binding policy (N)"
"443","Efficiency",2007,38,"Non-binding policy
(N documents)","Non-binding policy (N)"
"444","Efficiency",2008,24,"Non-binding policy
(N documents)","Non-binding policy (N)"
"445","Efficiency",2009,31,"Non-binding policy
(N documents)","Non-binding policy (N)"
"446","Efficiency",2010,46,"Non-binding policy
(N documents)","Non-binding policy (N)"
"447","Efficiency",2011,58,"Non-binding policy
(N documents)","Non-binding policy (N)"
"448","Efficiency",2012,47,"Non-binding policy
(N documents)","Non-binding policy (N)"
"449","Efficiency",2013,65,"Non-binding policy
(N documents)","Non-binding policy (N)"
"450","Efficiency",2014,68,"Non-binding policy
(N documents)","Non-binding policy (N)"
"451","Efficiency",2015,112,"Non-binding policy
(N documents)","Non-binding policy (N)"
"452","Efficiency",2016,94,"Non-binding policy
(N documents)","Non-binding policy (N)"
"453","Efficiency",2017,100,"Non-binding policy
(N documents)","Non-binding policy (N)"
"454","Efficiency",2018,94,"Non-binding policy
(N documents)","Non-binding policy (N)"
"455","Efficiency",2019,74,"Non-binding policy
(N documents)","Non-binding policy (N)"
"456","Efficiency",2020,91,"Non-binding policy
(N documents)","Non-binding policy (N)"
"457","Efficiency",2021,69,"Non-binding policy
(N documents)","Non-binding policy (N)"
"458","Efficiency",2022,56,"Non-binding policy
(N documents)","Non-binding policy (N)"
"459","Efficiency",2023,34,"Non-binding policy
(N documents)","Non-binding policy (N)"
"460","Efficiency",2024,3,"Non-binding policy
(N documents)","Non-binding policy (N)"
"461","MRE-Bio",2002,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"462","MRE-Bio",2004,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"463","MRE-Bio",2006,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"464","MRE-Bio",2007,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"465","MRE-Bio",2009,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"466","MRE-Bio",2010,3,"Non-binding policy
(N documents)","Non-binding policy (N)"
"467","MRE-Bio",2011,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"468","MRE-Bio",2012,4,"Non-binding policy
(N documents)","Non-binding policy (N)"
"469","MRE-Bio",2013,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"470","MRE-Bio",2014,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"471","MRE-Bio",2017,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"472","MRE-Bio",2018,3,"Non-binding policy
(N documents)","Non-binding policy (N)"
"473","MRE-Bio",2021,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"474","MRE-Bio",2022,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"475","MRE-Located",1979,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"476","MRE-Located",1982,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"477","MRE-Located",1984,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"478","MRE-Located",1987,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"479","MRE-Located",1991,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"480","MRE-Located",1992,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"481","MRE-Located",1993,4,"Non-binding policy
(N documents)","Non-binding policy (N)"
"482","MRE-Located",1994,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"483","MRE-Located",1995,5,"Non-binding policy
(N documents)","Non-binding policy (N)"
"484","MRE-Located",1997,8,"Non-binding policy
(N documents)","Non-binding policy (N)"
"485","MRE-Located",1998,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"486","MRE-Located",1999,5,"Non-binding policy
(N documents)","Non-binding policy (N)"
"487","MRE-Located",2000,3,"Non-binding policy
(N documents)","Non-binding policy (N)"
"488","MRE-Located",2001,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"489","MRE-Located",2002,9,"Non-binding policy
(N documents)","Non-binding policy (N)"
"490","MRE-Located",2003,4,"Non-binding policy
(N documents)","Non-binding policy (N)"
"491","MRE-Located",2004,10,"Non-binding policy
(N documents)","Non-binding policy (N)"
"492","MRE-Located",2005,17,"Non-binding policy
(N documents)","Non-binding policy (N)"
"493","MRE-Located",2006,15,"Non-binding policy
(N documents)","Non-binding policy (N)"
"494","MRE-Located",2007,15,"Non-binding policy
(N documents)","Non-binding policy (N)"
"495","MRE-Located",2008,12,"Non-binding policy
(N documents)","Non-binding policy (N)"
"496","MRE-Located",2009,22,"Non-binding policy
(N documents)","Non-binding policy (N)"
"497","MRE-Located",2010,25,"Non-binding policy
(N documents)","Non-binding policy (N)"
"498","MRE-Located",2011,28,"Non-binding policy
(N documents)","Non-binding policy (N)"
"499","MRE-Located",2012,24,"Non-binding policy
(N documents)","Non-binding policy (N)"
"500","MRE-Located",2013,31,"Non-binding policy
(N documents)","Non-binding policy (N)"
"501","MRE-Located",2014,41,"Non-binding policy
(N documents)","Non-binding policy (N)"
"502","MRE-Located",2015,68,"Non-binding policy
(N documents)","Non-binding policy (N)"
"503","MRE-Located",2016,51,"Non-binding policy
(N documents)","Non-binding policy (N)"
"504","MRE-Located",2017,48,"Non-binding policy
(N documents)","Non-binding policy (N)"
"505","MRE-Located",2018,55,"Non-binding policy
(N documents)","Non-binding policy (N)"
"506","MRE-Located",2019,32,"Non-binding policy
(N documents)","Non-binding policy (N)"
"507","MRE-Located",2020,57,"Non-binding policy
(N documents)","Non-binding policy (N)"
"508","MRE-Located",2021,41,"Non-binding policy
(N documents)","Non-binding policy (N)"
"509","MRE-Located",2022,26,"Non-binding policy
(N documents)","Non-binding policy (N)"
"510","MRE-Located",2023,25,"Non-binding policy
(N documents)","Non-binding policy (N)"
"511","MRE-Located",2024,3,"Non-binding policy
(N documents)","Non-binding policy (N)"
"512","MRE-Ocean",1977,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"513","MRE-Ocean",1982,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"514","MRE-Ocean",1983,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"515","MRE-Ocean",1987,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"516","MRE-Ocean",1989,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"517","MRE-Ocean",1990,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"518","MRE-Ocean",1991,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"519","MRE-Ocean",1993,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"520","MRE-Ocean",1995,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"521","MRE-Ocean",1996,1,"Non-binding policy
(N documents)","Non-binding policy (N)"
"522","MRE-Ocean",1997,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"523","MRE-Ocean",1998,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"524","MRE-Ocean",1999,4,"Non-binding policy
(N documents)","Non-binding policy (N)"
"525","MRE-Ocean",2000,4,"Non-binding policy
(N documents)","Non-binding policy (N)"
"526","MRE-Ocean",2001,3,"Non-binding policy
(N documents)","Non-binding policy (N)"
"527","MRE-Ocean",2002,10,"Non-binding policy
(N documents)","Non-binding policy (N)"
"528","MRE-Ocean",2003,6,"Non-binding policy
(N documents)","Non-binding policy (N)"
"529","MRE-Ocean",2004,8,"Non-binding policy
(N documents)","Non-binding policy (N)"
"530","MRE-Ocean",2005,12,"Non-binding policy
(N documents)","Non-binding policy (N)"
"531","MRE-Ocean",2006,7,"Non-binding policy
(N documents)","Non-binding policy (N)"
"532","MRE-Ocean",2007,16,"Non-binding policy
(N documents)","Non-binding policy (N)"
"533","MRE-Ocean",2008,11,"Non-binding policy
(N documents)","Non-binding policy (N)"
"534","MRE-Ocean",2009,16,"Non-binding policy
(N documents)","Non-binding policy (N)"
"535","MRE-Ocean",2010,24,"Non-binding policy
(N documents)","Non-binding policy (N)"
"536","MRE-Ocean",2011,21,"Non-binding policy
(N documents)","Non-binding policy (N)"
"537","MRE-Ocean",2012,20,"Non-binding policy
(N documents)","Non-binding policy (N)"
"538","MRE-Ocean",2013,29,"Non-binding policy
(N documents)","Non-binding policy (N)"
"539","MRE-Ocean",2014,24,"Non-binding policy
(N documents)","Non-binding policy (N)"
"540","MRE-Ocean",2015,51,"Non-binding policy
(N documents)","Non-binding policy (N)"
"541","MRE-Ocean",2016,38,"Non-binding policy
(N documents)","Non-binding policy (N)"
"542","MRE-Ocean",2017,34,"Non-binding policy
(N documents)","Non-binding policy (N)"
"543","MRE-Ocean",2018,38,"Non-binding policy
(N documents)","Non-binding policy (N)"
"544","MRE-Ocean",2019,28,"Non-binding policy
(N documents)","Non-binding policy (N)"
"545","MRE-Ocean",2020,39,"Non-binding policy
(N documents)","Non-binding policy (N)"
"546","MRE-Ocean",2021,26,"Non-binding policy
(N documents)","Non-binding policy (N)"
"547","MRE-Ocean",2022,12,"Non-binding policy
(N documents)","Non-binding policy (N)"
"548","MRE-Ocean",2023,12,"Non-binding policy
(N documents)","Non-binding policy (N)"
"549","MRE-Ocean",2024,2,"Non-binding policy
(N documents)","Non-binding policy (N)"
"550","CCS",1979,1,"Legislation
(N documents)","Legislation (N)"
"551","CCS",1994,2,"Legislation
(N documents)","Legislation (N)"
"552","CCS",1996,1,"Legislation
(N documents)","Legislation (N)"
"553","CCS",1999,1,"Legislation
(N documents)","Legislation (N)"
"554","CCS",2000,2,"Legislation
(N documents)","Legislation (N)"
"555","CCS",2002,1,"Legislation
(N documents)","Legislation (N)"
"556","CCS",2004,1,"Legislation
(N documents)","Legislation (N)"
"557","CCS",2007,2,"Legislation
(N documents)","Legislation (N)"
"558","CCS",2008,3,"Legislation
(N documents)","Legislation (N)"
"559","CCS",2009,5,"Legislation
(N documents)","Legislation (N)"
"560","CCS",2010,6,"Legislation
(N documents)","Legislation (N)"
"561","CCS",2011,9,"Legislation
(N documents)","Legislation (N)"
"562","CCS",2012,2,"Legislation
(N documents)","Legislation (N)"
"563","CCS",2013,4,"Legislation
(N documents)","Legislation (N)"
"564","CCS",2014,7,"Legislation
(N documents)","Legislation (N)"
"565","CCS",2015,9,"Legislation
(N documents)","Legislation (N)"
"566","CCS",2016,4,"Legislation
(N documents)","Legislation (N)"
"567","CCS",2017,9,"Legislation
(N documents)","Legislation (N)"
"568","CCS",2018,3,"Legislation
(N documents)","Legislation (N)"
"569","CCS",2019,4,"Legislation
(N documents)","Legislation (N)"
"570","CCS",2020,5,"Legislation
(N documents)","Legislation (N)"
"571","CCS",2021,12,"Legislation
(N documents)","Legislation (N)"
"572","CCS",2022,7,"Legislation
(N documents)","Legislation (N)"
"573","CCS",2023,6,"Legislation
(N documents)","Legislation (N)"
"574","CCS",2024,4,"Legislation
(N documents)","Legislation (N)"
"575","CDR-BC",1976,2,"Legislation
(N documents)","Legislation (N)"
"576","CDR-BC",1977,1,"Legislation
(N documents)","Legislation (N)"
"577","CDR-BC",1979,1,"Legislation
(N documents)","Legislation (N)"
"578","CDR-BC",1983,1,"Legislation
(N documents)","Legislation (N)"
"579","CDR-BC",1985,1,"Legislation
(N documents)","Legislation (N)"
"580","CDR-BC",1988,1,"Legislation
(N documents)","Legislation (N)"
"581","CDR-BC",1989,2,"Legislation
(N documents)","Legislation (N)"
"582","CDR-BC",1990,4,"Legislation
(N documents)","Legislation (N)"
"583","CDR-BC",1991,2,"Legislation
(N documents)","Legislation (N)"
"584","CDR-BC",1992,1,"Legislation
(N documents)","Legislation (N)"
"585","CDR-BC",1993,1,"Legislation
(N documents)","Legislation (N)"
"586","CDR-BC",1994,5,"Legislation
(N documents)","Legislation (N)"
"587","CDR-BC",1995,5,"Legislation
(N documents)","Legislation (N)"
"588","CDR-BC",1996,5,"Legislation
(N documents)","Legislation (N)"
"589","CDR-BC",1997,5,"Legislation
(N documents)","Legislation (N)"
"590","CDR-BC",1998,1,"Legislation
(N documents)","Legislation (N)"
"591","CDR-BC",1999,6,"Legislation
(N documents)","Legislation (N)"
"592","CDR-BC",2000,10,"Legislation
(N documents)","Legislation (N)"
"593","CDR-BC",2001,11,"Legislation
(N documents)","Legislation (N)"
"594","CDR-BC",2002,8,"Legislation
(N documents)","Legislation (N)"
"595","CDR-BC",2003,8,"Legislation
(N documents)","Legislation (N)"
"596","CDR-BC",2004,5,"Legislation
(N documents)","Legislation (N)"
"597","CDR-BC",2005,10,"Legislation
(N documents)","Legislation (N)"
"598","CDR-BC",2006,4,"Legislation
(N documents)","Legislation (N)"
"599","CDR-BC",2007,9,"Legislation
(N documents)","Legislation (N)"
"600","CDR-BC",2008,6,"Legislation
(N documents)","Legislation (N)"
"601","CDR-BC",2009,6,"Legislation
(N documents)","Legislation (N)"
"602","CDR-BC",2010,4,"Legislation
(N documents)","Legislation (N)"
"603","CDR-BC",2011,5,"Legislation
(N documents)","Legislation (N)"
"604","CDR-BC",2012,5,"Legislation
(N documents)","Legislation (N)"
"605","CDR-BC",2013,16,"Legislation
(N documents)","Legislation (N)"
"606","CDR-BC",2014,12,"Legislation
(N documents)","Legislation (N)"
"607","CDR-BC",2015,26,"Legislation
(N documents)","Legislation (N)"
"608","CDR-BC",2016,15,"Legislation
(N documents)","Legislation (N)"
"609","CDR-BC",2017,14,"Legislation
(N documents)","Legislation (N)"
"610","CDR-BC",2018,10,"Legislation
(N documents)","Legislation (N)"
"611","CDR-BC",2019,21,"Legislation
(N documents)","Legislation (N)"
"612","CDR-BC",2020,12,"Legislation
(N documents)","Legislation (N)"
"613","CDR-BC",2021,15,"Legislation
(N documents)","Legislation (N)"
"614","CDR-BC",2022,12,"Legislation
(N documents)","Legislation (N)"
"615","CDR-BC",2023,10,"Legislation
(N documents)","Legislation (N)"
"616","CDR-BC",2024,7,"Legislation
(N documents)","Legislation (N)"
"617","CDR-BioPump",1979,2,"Legislation
(N documents)","Legislation (N)"
"618","CDR-BioPump",1987,1,"Legislation
(N documents)","Legislation (N)"
"619","CDR-BioPump",1988,2,"Legislation
(N documents)","Legislation (N)"
"620","CDR-BioPump",1990,2,"Legislation
(N documents)","Legislation (N)"
"621","CDR-BioPump",1991,3,"Legislation
(N documents)","Legislation (N)"
"622","CDR-BioPump",1992,1,"Legislation
(N documents)","Legislation (N)"
"623","CDR-BioPump",1994,3,"Legislation
(N documents)","Legislation (N)"
"624","CDR-BioPump",1995,1,"Legislation
(N documents)","Legislation (N)"
"625","CDR-BioPump",1996,3,"Legislation
(N documents)","Legislation (N)"
"626","CDR-BioPump",1997,2,"Legislation
(N documents)","Legislation (N)"
"627","CDR-BioPump",1998,1,"Legislation
(N documents)","Legislation (N)"
"628","CDR-BioPump",1999,1,"Legislation
(N documents)","Legislation (N)"
"629","CDR-BioPump",2000,4,"Legislation
(N documents)","Legislation (N)"
"630","CDR-BioPump",2001,1,"Legislation
(N documents)","Legislation (N)"
"631","CDR-BioPump",2002,1,"Legislation
(N documents)","Legislation (N)"
"632","CDR-BioPump",2003,2,"Legislation
(N documents)","Legislation (N)"
"633","CDR-BioPump",2004,2,"Legislation
(N documents)","Legislation (N)"
"634","CDR-BioPump",2005,5,"Legislation
(N documents)","Legislation (N)"
"635","CDR-BioPump",2006,5,"Legislation
(N documents)","Legislation (N)"
"636","CDR-BioPump",2007,1,"Legislation
(N documents)","Legislation (N)"
"637","CDR-BioPump",2008,3,"Legislation
(N documents)","Legislation (N)"
"638","CDR-BioPump",2009,6,"Legislation
(N documents)","Legislation (N)"
"639","CDR-BioPump",2010,5,"Legislation
(N documents)","Legislation (N)"
"640","CDR-BioPump",2011,7,"Legislation
(N documents)","Legislation (N)"
"641","CDR-BioPump",2012,5,"Legislation
(N documents)","Legislation (N)"
"642","CDR-BioPump",2013,3,"Legislation
(N documents)","Legislation (N)"
"643","CDR-BioPump",2014,5,"Legislation
(N documents)","Legislation (N)"
"644","CDR-BioPump",2015,12,"Legislation
(N documents)","Legislation (N)"
"645","CDR-BioPump",2016,8,"Legislation
(N documents)","Legislation (N)"
"646","CDR-BioPump",2017,6,"Legislation
(N documents)","Legislation (N)"
"647","CDR-BioPump",2018,3,"Legislation
(N documents)","Legislation (N)"
"648","CDR-BioPump",2019,4,"Legislation
(N documents)","Legislation (N)"
"649","CDR-BioPump",2020,4,"Legislation
(N documents)","Legislation (N)"
"650","CDR-BioPump",2021,6,"Legislation
(N documents)","Legislation (N)"
"651","CDR-BioPump",2022,6,"Legislation
(N documents)","Legislation (N)"
"652","CDR-BioPump",2023,4,"Legislation
(N documents)","Legislation (N)"
"653","CDR-Cult",1981,1,"Legislation
(N documents)","Legislation (N)"
"654","CDR-Cult",1988,1,"Legislation
(N documents)","Legislation (N)"
"655","CDR-Cult",1992,1,"Legislation
(N documents)","Legislation (N)"
"656","CDR-Cult",1999,1,"Legislation
(N documents)","Legislation (N)"
"657","CDR-Cult",2000,3,"Legislation
(N documents)","Legislation (N)"
"658","CDR-Cult",2001,2,"Legislation
(N documents)","Legislation (N)"
"659","CDR-Cult",2002,1,"Legislation
(N documents)","Legislation (N)"
"660","CDR-Cult",2008,3,"Legislation
(N documents)","Legislation (N)"
"661","CDR-Cult",2010,3,"Legislation
(N documents)","Legislation (N)"
"662","CDR-Cult",2011,3,"Legislation
(N documents)","Legislation (N)"
"663","CDR-Cult",2012,2,"Legislation
(N documents)","Legislation (N)"
"664","CDR-Cult",2014,2,"Legislation
(N documents)","Legislation (N)"
"665","CDR-Cult",2015,1,"Legislation
(N documents)","Legislation (N)"
"666","CDR-Cult",2016,2,"Legislation
(N documents)","Legislation (N)"
"667","CDR-Cult",2018,1,"Legislation
(N documents)","Legislation (N)"
"668","CDR-Cult",2020,1,"Legislation
(N documents)","Legislation (N)"
"669","CDR-Cult",2021,1,"Legislation
(N documents)","Legislation (N)"
"670","CDR-Cult",2022,2,"Legislation
(N documents)","Legislation (N)"
"671","CDR-Cult",2023,3,"Legislation
(N documents)","Legislation (N)"
"672","CDR-Cult",2024,2,"Legislation
(N documents)","Legislation (N)"
"673","CDR-OAE",1979,1,"Legislation
(N documents)","Legislation (N)"
"674","CDR-OAE",1987,1,"Legislation
(N documents)","Legislation (N)"
"675","CDR-OAE",1988,1,"Legislation
(N documents)","Legislation (N)"
"676","CDR-OAE",1989,3,"Legislation
(N documents)","Legislation (N)"
"677","CDR-OAE",1990,2,"Legislation
(N documents)","Legislation (N)"
"678","CDR-OAE",1991,2,"Legislation
(N documents)","Legislation (N)"
"679","CDR-OAE",1992,2,"Legislation
(N documents)","Legislation (N)"
"680","CDR-OAE",1993,5,"Legislation
(N documents)","Legislation (N)"
"681","CDR-OAE",1994,4,"Legislation
(N documents)","Legislation (N)"
"682","CDR-OAE",1995,3,"Legislation
(N documents)","Legislation (N)"
"683","CDR-OAE",1997,5,"Legislation
(N documents)","Legislation (N)"
"684","CDR-OAE",1998,5,"Legislation
(N documents)","Legislation (N)"
"685","CDR-OAE",1999,5,"Legislation
(N documents)","Legislation (N)"
"686","CDR-OAE",2000,7,"Legislation
(N documents)","Legislation (N)"
"687","CDR-OAE",2001,6,"Legislation
(N documents)","Legislation (N)"
"688","CDR-OAE",2002,8,"Legislation
(N documents)","Legislation (N)"
"689","CDR-OAE",2003,5,"Legislation
(N documents)","Legislation (N)"
"690","CDR-OAE",2004,5,"Legislation
(N documents)","Legislation (N)"
"691","CDR-OAE",2005,2,"Legislation
(N documents)","Legislation (N)"
"692","CDR-OAE",2006,5,"Legislation
(N documents)","Legislation (N)"
"693","CDR-OAE",2007,15,"Legislation
(N documents)","Legislation (N)"
"694","CDR-OAE",2008,9,"Legislation
(N documents)","Legislation (N)"
"695","CDR-OAE",2009,8,"Legislation
(N documents)","Legislation (N)"
"696","CDR-OAE",2010,11,"Legislation
(N documents)","Legislation (N)"
"697","CDR-OAE",2011,10,"Legislation
(N documents)","Legislation (N)"
"698","CDR-OAE",2012,11,"Legislation
(N documents)","Legislation (N)"
"699","CDR-OAE",2013,10,"Legislation
(N documents)","Legislation (N)"
"700","CDR-OAE",2014,11,"Legislation
(N documents)","Legislation (N)"
"701","CDR-OAE",2015,10,"Legislation
(N documents)","Legislation (N)"
"702","CDR-OAE",2016,14,"Legislation
(N documents)","Legislation (N)"
"703","CDR-OAE",2017,11,"Legislation
(N documents)","Legislation (N)"
"704","CDR-OAE",2018,5,"Legislation
(N documents)","Legislation (N)"
"705","CDR-OAE",2019,3,"Legislation
(N documents)","Legislation (N)"
"706","CDR-OAE",2022,2,"Legislation
(N documents)","Legislation (N)"
"707","CDR-OAE",2023,1,"Legislation
(N documents)","Legislation (N)"
"708","CDR-OAE",2024,1,"Legislation
(N documents)","Legislation (N)"
"709","Efficiency",1976,1,"Legislation
(N documents)","Legislation (N)"
"710","Efficiency",1978,1,"Legislation
(N documents)","Legislation (N)"
"711","Efficiency",1979,3,"Legislation
(N documents)","Legislation (N)"
"712","Efficiency",1980,1,"Legislation
(N documents)","Legislation (N)"
"713","Efficiency",1982,1,"Legislation
(N documents)","Legislation (N)"
"714","Efficiency",1983,1,"Legislation
(N documents)","Legislation (N)"
"715","Efficiency",1985,1,"Legislation
(N documents)","Legislation (N)"
"716","Efficiency",1986,2,"Legislation
(N documents)","Legislation (N)"
"717","Efficiency",1987,2,"Legislation
(N documents)","Legislation (N)"
"718","Efficiency",1988,2,"Legislation
(N documents)","Legislation (N)"
"719","Efficiency",1989,4,"Legislation
(N documents)","Legislation (N)"
"720","Efficiency",1990,8,"Legislation
(N documents)","Legislation (N)"
"721","Efficiency",1991,4,"Legislation
(N documents)","Legislation (N)"
"722","Efficiency",1992,2,"Legislation
(N documents)","Legislation (N)"
"723","Efficiency",1993,3,"Legislation
(N documents)","Legislation (N)"
"724","Efficiency",1994,4,"Legislation
(N documents)","Legislation (N)"
"725","Efficiency",1995,6,"Legislation
(N documents)","Legislation (N)"
"726","Efficiency",1996,10,"Legislation
(N documents)","Legislation (N)"
"727","Efficiency",1997,10,"Legislation
(N documents)","Legislation (N)"
"728","Efficiency",1998,9,"Legislation
(N documents)","Legislation (N)"
"729","Efficiency",1999,4,"Legislation
(N documents)","Legislation (N)"
"730","Efficiency",2000,12,"Legislation
(N documents)","Legislation (N)"
"731","Efficiency",2001,11,"Legislation
(N documents)","Legislation (N)"
"732","Efficiency",2002,22,"Legislation
(N documents)","Legislation (N)"
"733","Efficiency",2003,12,"Legislation
(N documents)","Legislation (N)"
"734","Efficiency",2004,13,"Legislation
(N documents)","Legislation (N)"
"735","Efficiency",2005,11,"Legislation
(N documents)","Legislation (N)"
"736","Efficiency",2006,13,"Legislation
(N documents)","Legislation (N)"
"737","Efficiency",2007,26,"Legislation
(N documents)","Legislation (N)"
"738","Efficiency",2008,25,"Legislation
(N documents)","Legislation (N)"
"739","Efficiency",2009,31,"Legislation
(N documents)","Legislation (N)"
"740","Efficiency",2010,31,"Legislation
(N documents)","Legislation (N)"
"741","Efficiency",2011,36,"Legislation
(N documents)","Legislation (N)"
"742","Efficiency",2012,28,"Legislation
(N documents)","Legislation (N)"
"743","Efficiency",2013,44,"Legislation
(N documents)","Legislation (N)"
"744","Efficiency",2014,51,"Legislation
(N documents)","Legislation (N)"
"745","Efficiency",2015,68,"Legislation
(N documents)","Legislation (N)"
"746","Efficiency",2016,36,"Legislation
(N documents)","Legislation (N)"
