model,F1 macro,ROC AUC macro,precision macro,recall macro,label name,F1 - label,ROC AUC - label,precision - label,recall - label,accuracy - label,batch_size,weight_decay,learning_rate,num_epochs,class_weight
oro_type,0.7612621879087884,0.9470432202818198,0.763514073291261,0.7792750410738316,nan,,,,,,,,,,
oro_type,,,,,MRE-Ocean,0.7741605387782299,0.9312617133070468,0.7547036297036297,0.8033983583839676,0.8973632168754121,16.0,0.0,5e-05,4.0,-1.0
oro_type,,,,,MRE-Located,0.7729367006264116,0.9332927721485333,0.688679707522991,0.8859649122807017,0.8847983436398071,16.0,0.0,5e-05,4.0,-1.0
oro_type,,,,,CCS,0.7187800963081863,0.9387361382909327,0.7065081351689613,0.7341269841269842,0.9454367226387952,16.0,0.0,5e-05,4.0,-1.0
oro_type,,,,,CDR-BC,0.8384505764995465,0.9721879100082833,0.8945035460992907,0.7967160037002775,0.9648667744522668,16.0,0.0,5e-05,4.0,-1.0
oro_type,,,,,MRE-Bio,0.7801932367149758,0.9838214193305577,0.759090909090909,0.8125,0.9773522934144696,16.0,0.0,5e-05,4.0,-1.0
oro_type,,,,,Efficiency,0.7977332170880558,0.9411342656536904,0.8017647058823529,0.8034883720930232,0.9582564193963159,16.0,0.0,5e-05,4.0,-1.0
oro_type,,,,,CDR-OAE,0.707843137254902,0.948618865520409,0.7546296296296297,0.7148148148148148,0.9740520364817592,16.0,0.0,5e-05,4.0,-1.0
oro_type,,,,,CDR-BioPump,0.7000000000000001,0.9272926779951046,0.7482323232323232,0.6831908831908832,0.9735607456688323,32.0,0.0,5e-05,4.0,-1.0
ecosystem,0.8103405428420909,0.9462991847287245,0.8452910052910053,0.7978876678876677,,,,,,,16.0,0.0,5e-05,4.0,-1.0
ecosystem,,,,,Microalgae,0.7227272727272727,0.938061759029501,0.6666666666666666,0.7999999999999999,0.9014708805406478,16.0,0.0,5e-05,4.0,-1.0
ecosystem,,,,,Macroalgae,0.6355996944232238,0.8856796490147784,0.7111111111111111,0.613095238095238,0.8309083681176704,16.0,0.0,5e-05,4.0,-1.0
ecosystem,,,,,Seagrass,0.9523809523809524,0.9851190476190476,0.9523809523809524,0.9523809523809524,0.982905982905983,16.0,0.0,5e-05,4.0,-1.0
ecosystem,,,,,Salt marsh,0.803778677462888,0.9321592775041051,0.8962962962962964,0.7416666666666667,0.9344364937388193,16.0,0.0,5e-05,4.0,-1.0
ecosystem,,,,,Mangrove,0.9372161172161172,0.9904761904761904,1.0,0.8822954822954824,0.9584873782548201,16.0,0.0,5e-05,4.0,-1.0
