"","cp_id","oro_type","component","variable_name","2.5%","25%","50%","75%","97.5%"
"1","x_cp[1]","CCS","deployment","Storage capacity (Mt)",2011.96923165888,2012.62961989076,2013.06267747862,2013.57158401814,2014.08764039097
"2","x_cp[2]","Efficiency","deployment","Shipping carbon efficiency (tkm/gCO2)",2010.33331415216,2011.14845946063,2011.53391521125,2011.92198678788,2012.85859006774
"3","x_cp[1]","MRE-Ocean","deployment","Electricity Installed Capacity (MW)",2012.54347560461,2012.71579432074,2012.8779570267,2012.9757335232,2013.09089422083
"4","x_cp[1]","CDR-OAE","deployment","Field trial/startup company (N)",2015.43078360469,2017.34811553256,2017.83920098119,2018.25268201699,2018.87538013348
"5","x_cp[2]","CDR-OAE","deployment","Field trial/startup company (N)",2019.27296056804,2020.60368946131,2021.43683850773,2022.26753702343,2022.88740437719
